Red,Blue,Yellow,Real Winner,Predicted Winner
Inkling,Bowser Jr.,Mii Gunner,Yellow,Blue
,Bowser,Joker,Blue,Blue
Greninja,Cloud,Mii Swordfighter,Red,Blue
Diddy Kong,Steve,Wario,Blue,Red
Palutena,Ken,Banjo & Kazooie,Yellow,Blue
Min Min,Pikachu,Lucas,Red,Blue
Kirby,Piranha Plant,Joker,Yellow,Red
Ganondorf,Marth,Dr. Mario,Blue,Red
Daisy,Samus,Banjo & Kazooie,Yellow,Red
Cloud,Captain Falcon,Young Link,Red,Blue
Captain Falcon,Random,Ice Climbers,Red,Red
Pikachu,Dark Pit,Greninja,Yellow,Blue
Roy,Pichu,Kazuya,Red,Blue
,Rosalina & Luma,Bowser,Yellow,Blue
Lucas,Marth,Sheik,Yellow,Red
Hero,Dark Samus,Wolf,Blue,Blue
Olimar,Mii Gunner,Greninja,Blue,Blue
Chrom,Villager,Olimar,Red,Red
Piranha Plant,Incineroar,,Blue,Blue
Young Link,Corrin,Yoshi,Yellow,Blue
Ness,Hero,Dark Pit,Blue,Blue
Random,Dark Pit,Sephiroth,Blue,Blue
Chrom,Greninja,Marth,Blue,Blue
Wii Fit Trainer,Zelda,Olimar,Yellow,Blue
Rosalina & Luma,King K. Rool,Chrom,Blue,Blue
Daisy,Wario,Jigglypuff,Red,Red
King Dedede,Mii Swordfighter,,Blue,Red
Sonic,Palutena,Ganondorf,Blue,Blue
Wii Fit Trainer,Bowser Jr.,Snake,Blue,Blue
Yoshi,Ken,Mewtwo,Blue,Blue
Link,Mega Man,Random,Red,Red
Random,Peach,Link,Blue,Blue
Bowser,Mega Man,Simon,Yellow,Blue
Ken,Luigi,Mii Swordfighter,Yellow,Red
,Simon,Corrin,Blue,Blue
Duck Hunt,Greninja,Wolf,Red,Blue
Diddy Kong,Sora,Mii Swordfighter,Blue,Red
Random,Fox,Dr. Mario,Yellow,Blue
Lucas,Steve,Palutena,Blue,Red
Zero Suit Samus,Terry,Mii Brawler,Blue,Blue
Sonic,Ness,,Red,Blue
Lucario,Piranha Plant,Kirby,Blue,Red
Sora,Bowser Jr.,Kirby,Blue,Blue
Inkling,Incineroar,,Blue,Blue
Yoshi,Incineroar,Kazuya,Blue,Blue
Villager,Bayonetta,Donkey Kong,Red,Blue
Banjo & Kazooie,Corrin,Ridley,Yellow,Blue
Rosalina & Luma,King K. Rool,Young Link,Blue,Blue
Olimar,Sephiroth,,Blue,Red
Zelda,Ryu,Isabelle,Yellow,Blue
Toon Link,Corrin,Young Link,Blue,Blue
